LCD (Å),Sacc (m2/gr),Porosity,Qst-H2 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NH2 - 1 bar (mol/kg)
11.47454,5556.57,0.793753,2.3808184693,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0524154001
18.65911,4246.07,0.798839,2.3143800082,57.57575758,0,33.33333333,6.060606061,3.03030303,0,0,0.0600190514
15.03537,4250.26,0.774878,2.121817303,50,0,21.875,12.5,15.625,0,0,0.0492587727
16.73475,4416.24,0.785122,2.5160202635,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.0505267364
13.74934,4342.36,0.763798,2.3889216814,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.0465600047
8.22178,4808.58,0.771287,3.1543386833,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.046635281
11.59818,4310.9,0.796048,2.6810216529,60,0,23.33333333,6.666666667,10,0,0,0.0504472772
11.89667,3768.29,0.711451,2.9747641699,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.0436100585
9.98469,4113.16,0.747905,3.3615346299,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.0439187043
14.06198,4514.92,0.797634,2.5708732307,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.0519700758
15.87204,3155.57,0.767992,2.9275424744,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.0445338852
8.91653,3025.92,0.699781,3.8817073653,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.0362368157
13.31227,3391.01,0.7721,3.0045334829,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.0443959447
10.32966,4286.98,0.723887,3.250844042,53.33333333,0,30,6.666666667,10,0,0,0.0444255058
13.79841,3803.9,0.787784,2.5588092978,53.33333333,0,30,6.666666667,10,0,0,0.0515545512
8.13443,4273.42,0.710515,3.4356113198,53.33333333,0,30,6.666666667,10,0,0,0.0415471185
14.40969,4817.54,0.777579,2.6317931845,50,0,36.11111111,5.555555556,8.333333333,0,0,0.0522806925
13.43716,3173.94,0.710599,2.6730353119,50,0,36.11111111,5.555555556,8.333333333,0,0,0.0430200677
12.64558,3283.77,0.690923,3.2471997534,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0396988688
10.3853,5762.2,0.792696,2.4123585495,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.054704218
17.71704,3405.32,0.726771,2.6446237848,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0483091899
8.83803,3763.94,0.707161,3.684259135,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0415547138
10.37349,5195.64,0.753679,2.6413965249,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.050295758
11.99284,5519.02,0.792607,2.1961864274,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.0570600283
17.69571,2970.59,0.694533,2.6099165395,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.0420813499
11.85863,4500.14,0.785639,2.5232877209,60,0,30,6.666666667,3.333333333,0,0,0.0524943436
15.38337,2959.07,0.712574,3.7258081255,60,0,30,6.666666667,3.333333333,0,0,0.0397333776
10.03221,4703.42,0.707404,2.849914879,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.045698676
11.57419,4905.08,0.760057,2.3578842053,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.0518264818
17.16632,2652.54,0.661722,3.0949752518,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.0401997817
18.58171,5333.83,0.77759,2.2107839,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.0560048901
10.30895,5443.24,0.779017,2.520928108,56,0,28,8,8,0,0,0.0502924192
17.72418,3041.12,0.705337,2.6712594199,56,0,28,8,8,0,0,0.0431248693
10.07194,6327.4,0.76439,2.1622758692,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0557335284
16.0516,5816.12,0.789562,1.7873098444,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0629563184
16.86993,4330.63,0.724742,2.318378146,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0510205968
8.64367,4417.82,0.671352,3.3855876256,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0429355849
9.68497,4821.27,0.720738,2.7465939417,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.0445979085
11.90628,5060.82,0.766058,2.2955372516,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.0523503039
15.61072,3374.83,0.712746,3.2138219769,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.0418887747
16.97318,2437.52,0.669652,3.2188135571,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0378082042
18.29188,4849.69,0.75216,2.4367237964,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0507152085
13.0954,4119.41,0.739634,2.4279520786,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0479424799
11.40361,5072.6,0.770498,2.2783506229,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.0518597994
15.76976,2911.04,0.617605,3.1078731463,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.0404862023
10.6722,4243.57,0.69112,2.5905386025,50,0,41.66666667,5.555555556,2.777777778,0,0,0.0442445588
11.42435,4362.17,0.776293,2.3614644218,53.57142857,0,25,7.142857143,14.28571429,0,0,0.0484245897
16.41252,2368.43,0.652135,3.3670285972,53.57142857,0,25,7.142857143,14.28571429,0,0,0.0360742092
18.78535,4631.14,0.795893,2.2210299404,53.57142857,0,25,7.142857143,14.28571429,0,0,0.0508587594
10.50024,5104.79,0.78067,2.4214262901,56,0,28,8,8,0,0,0.0498141397
17.68665,3137.08,0.740725,2.6832616697,56,0,28,8,8,0,0,0.0439426682
11.04798,4521.36,0.794035,2.4444562517,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0533426591
13.31832,4721.57,0.79973,2.4577303472,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0539384343
12.52789,4534.95,0.782229,2.7466714804,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0499134882
7.1897,1150.61,0.459956,4.5222079305,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0217677306
15.41183,4173.77,0.793117,2.2600396204,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0538091187
9.27189,2867.93,0.655065,3.6737310446,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0365901392
13.24448,4375.1,0.7321,2.6438351082,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0459636614
17.33286,5320.53,0.795919,2.2920568687,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0581147291
10.04859,4602.15,0.739138,3.1114221613,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0463666831
14.18186,4731.75,0.796728,2.2812728518,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0566419586
8.63469,5227.83,0.753945,3.2078725176,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0487464301
12.33495,5206.13,0.767579,2.5596815501,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0518341305
13.85573,4612.52,0.784287,1.9375265774,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0484022744
16.40723,3065.56,0.712763,2.6562225069,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0408194995
16.41862,4281.72,0.789444,1.7802077191,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0509023574
10.14241,6438.99,0.767339,2.1224070294,50,0,37.5,8.333333333,4.166666667,0,0,0.0535191984
15.19196,5707.02,0.796664,1.7998766187,50,0,37.5,8.333333333,4.166666667,0,0,0.06149756
16.80339,4139.24,0.720525,2.2451397203,50,0,37.5,8.333333333,4.166666667,0,0,0.0502417582
13.25046,4481.51,0.755347,2.6097683722,50,0,30,15,5,0,0,0.0481116367
10.39052,4780.42,0.760519,3.0304933667,50,0,30,15,5,0,0,0.0468730017
8.42145,5427.34,0.775359,3.1295037225,50,0,30,15,5,0,0,0.0493036108
6.02695,590.924,0.245682,5.2615408636,50,0,30,15,5,0,0,0.0170704685
10.04031,3938.69,0.752842,3.1082270182,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.0442630634
8.63809,4969.6,0.770626,3.2464975435,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.0464719919
10.96297,4893.27,0.774887,2.6638237024,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.049228123
16.24837,5190.94,0.776983,2.2907009533,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0523938256
