LCD (Å),Sacc (m2/gr),Porosity,Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 1 bar (mol/kg)
15.38337,2959.07,0.712574,18.3839511542,60,0,30,6.666666667,3.333333333,0,0,1.2003209154
10.03221,4703.42,0.707404,11.5423628068,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.5064768087
11.57419,4905.08,0.760057,8.9356628515,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.3632814102
17.16632,2652.54,0.661722,20.772354464,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.8482255051
18.58171,5333.83,0.77759,9.0800762666,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.3786175118
10.30895,5443.24,0.779017,10.2372655153,56,0,28,8,8,0,0,0.4378582503
17.72418,3041.12,0.705337,17.6367877846,56,0,28,8,8,0,0,0.7804399742
10.07194,6327.4,0.76439,8.782693051,53.84615385,0,42.30769231,0,3.846153846,0,0,0.3763373695
16.0516,5816.12,0.789562,8.8052343177,53.84615385,0,42.30769231,0,3.846153846,0,0,0.343522694
16.86993,4330.63,0.724742,10.5675836674,53.84615385,0,42.30769231,0,3.846153846,0,0,0.4161820938
8.64367,4417.82,0.671352,13.7845637149,53.84615385,0,42.30769231,0,3.846153846,0,0,0.8135782645
9.68497,4821.27,0.720738,10.949293602,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.4571191212
11.90628,5060.82,0.766058,8.8467488958,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.3575243635
15.61072,3374.83,0.712746,16.4588568388,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.9079276531
16.97318,2437.52,0.669652,15.3357253294,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.6348424346
18.29188,4849.69,0.75216,9.8231154277,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.4155648551
13.0954,4119.41,0.739634,10.1131934038,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.3842068182
11.40361,5072.6,0.770498,8.802503313,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.3447681464
15.76976,2911.04,0.617605,19.2948626935,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.8551613176
10.6722,4243.57,0.69112,9.7138602021,50,0,41.66666667,5.555555556,2.777777778,0,0,0.3639006781
11.42435,4362.17,0.776293,9.0828283776,53.57142857,0,25,7.142857143,14.28571429,0,0,0.346870589
16.41252,2368.43,0.652135,22.2289148256,53.57142857,0,25,7.142857143,14.28571429,0,0,1.0783166835
18.78535,4631.14,0.795893,9.1586996706,53.57142857,0,25,7.142857143,14.28571429,0,0,0.3529364281
10.50024,5104.79,0.78067,10.0900543885,56,0,28,8,8,0,0,0.4386288117
17.68665,3137.08,0.740725,15.899512885,56,0,28,8,8,0,0,0.6084305859
11.04798,4521.36,0.794035,12.0684476618,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.5272471559
13.31832,4721.57,0.79973,9.7844467745,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.415017434
12.52789,4534.95,0.782229,11.6465405399,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.6057566968
7.1897,1150.61,0.459956,14.3845615407,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.3774835993
15.41183,4173.77,0.793117,10.9361401887,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.4434737798
