PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-H2 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NH2 - 1 bar (mol/kg)
12.24598,12.70026,5460.82,0.779255,0.410150806,2.3119951237,55.55555556,0,36.11111111,5.555555556,2.777777778,0,0,0.0561900535
9.21646,11.47454,5556.57,0.793753,0.45612459,2.3808184693,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0524154001
18.15123,18.65911,4246.07,0.798839,0.375308123,2.3143800082,57.57575758,0,33.33333333,6.060606061,3.03030303,0,0,0.0600190514
14.48126,15.03537,4250.26,0.774878,0.440530662,2.121817303,50,0,21.875,12.5,15.625,0,0,0.0492587727
15.56226,16.73475,4416.24,0.785122,0.455182157,2.5160202635,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.0505267364
11.26306,13.74934,4342.36,0.763798,0.475826625,2.3889216814,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.0465600047
7.95881,8.22178,4808.58,0.771287,0.565657415,3.1543386833,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.046635281
9.88989,11.59818,4310.9,0.796048,0.493360824,2.6810216529,60,0,23.33333333,6.666666667,10,0,0,0.0504472772
10.04632,11.89667,3768.29,0.711451,0.534367119,2.9747641699,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.0436100585
5.81604,9.98469,4113.16,0.747905,0.574382908,3.3615346299,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.0439187043
11.76814,14.06198,4514.92,0.797634,0.465589105,2.5708732307,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.0519700758
14.55768,15.87204,3155.57,0.767992,0.53287094,2.9275424744,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.0445338852
5.44282,8.91653,3025.92,0.699781,0.683590234,3.8817073653,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.0362368157
10.55542,13.31227,3391.01,0.7721,0.552425042,3.0045334829,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.0443959447
7.09454,10.32966,4286.98,0.723887,0.5489177,3.250844042,53.33333333,0,30,6.666666667,10,0,0,0.0444255058
13.08015,13.79841,3803.9,0.787784,0.45923272,2.5588092978,53.33333333,0,30,6.666666667,10,0,0,0.0515545512
6.32406,8.13443,4273.42,0.710515,0.584046666,3.4356113198,53.33333333,0,30,6.666666667,10,0,0,0.0415471185
8.5404,14.40969,4817.54,0.777579,0.41821103,2.6317931845,50,0,36.11111111,5.555555556,8.333333333,0,0,0.0522806925
12.3677,13.43716,3173.94,0.710599,0.504715142,2.6730353119,50,0,36.11111111,5.555555556,8.333333333,0,0,0.0430200677
10.87146,12.64558,3283.77,0.690923,0.564729195,3.2471997534,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0396988688
8.37463,10.3853,5762.2,0.792696,0.439516019,2.4123585495,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.054704218
15.62014,17.71704,3405.32,0.726771,0.467305633,2.6446237848,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0483091899
5.26324,8.83803,3763.94,0.707161,0.602836982,3.684259135,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0415547138
8.00417,10.37349,5195.64,0.753679,0.465968225,2.6413965249,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.050295758
9.41702,11.99284,5519.02,0.792607,0.403795809,2.1961864274,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.0570600283
15.63447,17.69571,2970.59,0.694533,0.497257745,2.6099165395,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.0420813499
9.13298,11.85863,4500.14,0.785639,0.461345864,2.5232877209,60,0,30,6.666666667,3.333333333,0,0,0.0524943436
13.08934,15.38337,2959.07,0.712574,0.569017412,3.7258081255,60,0,30,6.666666667,3.333333333,0,0,0.0397333776
7.38284,10.03221,4703.42,0.707404,0.496184413,2.849914879,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.045698676
8.91856,11.57419,4905.08,0.760057,0.429223787,2.3578842053,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.0518264818
15.68395,17.16632,2652.54,0.661722,0.524924406,3.0949752518,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.0401997817
11.50519,18.58171,5333.83,0.77759,0.401280424,2.2107839,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.0560048901
7.85547,10.30895,5443.24,0.779017,0.471310806,2.520928108,56,0,28,8,8,0,0,0.0502924192
15.61169,17.72418,3041.12,0.705337,0.501160887,2.6712594199,56,0,28,8,8,0,0,0.0431248693
8.46009,10.07194,6327.4,0.76439,0.391280867,2.1622758692,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0557335284
10.02075,16.0516,5816.12,0.789562,0.337437655,1.7873098444,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0629563184
15.62545,16.86993,4330.63,0.724742,0.413953108,2.318378146,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0510205968
5.27107,8.64367,4417.82,0.671352,0.534053853,3.3855876256,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0429355849
7.76744,9.68497,4821.27,0.720738,0.496331411,2.7465939417,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.0445979085
8.83594,11.90628,5060.82,0.766058,0.430534328,2.2955372516,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.0523503039
13.305,15.61072,3374.83,0.712746,0.524607383,3.2138219769,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.0418887747
15.07776,16.97318,2437.52,0.669652,0.572958381,3.2188135571,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0378082042
9.41748,18.29188,4849.69,0.75216,0.441917303,2.4367237964,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0507152085
12.03081,13.0954,4119.41,0.739634,0.456326027,2.4279520786,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0479424799
8.88779,11.40361,5072.6,0.770498,0.433367103,2.2783506229,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.0518597994
14.23785,15.76976,2911.04,0.617605,0.528108223,3.1078731463,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.0404862023
7.1197,10.6722,4243.57,0.69112,0.479022944,2.5905386025,50,0,41.66666667,5.555555556,2.777777778,0,0,0.0442445588
8.84794,11.42435,4362.17,0.776293,0.483275663,2.3614644218,53.57142857,0,25,7.142857143,14.28571429,0,0,0.0484245897
15.01083,16.41252,2368.43,0.652135,0.591612452,3.3670285972,53.57142857,0,25,7.142857143,14.28571429,0,0,0.0360742092
11.83476,18.78535,4631.14,0.795893,0.452761373,2.2210299404,53.57142857,0,25,7.142857143,14.28571429,0,0,0.0508587594
8.65804,10.50024,5104.79,0.78067,0.471010042,2.4214262901,56,0,28,8,8,0,0,0.0498141397
15.61656,17.68665,3137.08,0.740725,0.501191111,2.6832616697,56,0,28,8,8,0,0,0.0439426682
8.26149,11.04798,4521.36,0.794035,0.452141474,2.4444562517,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0533426591
11.36155,13.31832,4721.57,0.79973,0.445706032,2.4577303472,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0539384343
6.85557,12.52789,4534.95,0.782229,0.484085146,2.7466714804,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0499134882
6.2617,7.1897,1150.61,0.459956,0.839702184,4.5222079305,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0217677306
11.62349,15.41183,4173.77,0.793117,0.422532889,2.2600396204,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0538091187
7.72116,9.27189,2867.93,0.655065,0.633799334,3.6737310446,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0365901392
11.24348,13.24448,4375.1,0.7321,0.482300304,2.6438351082,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0459636614
15.39256,17.33286,5320.53,0.795919,0.398646734,2.2920568687,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0581147291
5.53172,10.04859,4602.15,0.739138,0.52404106,3.1114221613,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0463666831
11.8459,14.18186,4731.75,0.796728,0.417679398,2.2812728518,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0566419586
6.62192,8.63469,5227.83,0.753945,0.525001068,3.2078725176,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0487464301
9.76,12.33495,5206.13,0.767579,0.448287274,2.5596815501,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0518341305
9.48302,13.85573,4612.52,0.784287,0.442860506,1.9375265774,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0484022744
13.81446,16.40723,3065.56,0.712763,0.54857066,2.6562225069,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0408194995
13.86454,16.41862,4281.72,0.789444,0.41846396,1.7802077191,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0509023574
9.26778,10.14241,6438.99,0.767339,0.403155887,2.1224070294,50,0,37.5,8.333333333,4.166666667,0,0,0.0535191984
9.92651,15.19196,5707.02,0.796664,0.348397409,1.7998766187,50,0,37.5,8.333333333,4.166666667,0,0,0.06149756
15.47522,16.80339,4139.24,0.720525,0.422658048,2.2451397203,50,0,37.5,8.333333333,4.166666667,0,0,0.0502417582
11.26516,13.25046,4481.51,0.755347,0.483676307,2.6097683722,50,0,30,15,5,0,0,0.0481116367
5.76431,10.39052,4780.42,0.760519,0.531544363,3.0304933667,50,0,30,15,5,0,0,0.0468730017
6.87004,8.42145,5427.34,0.775359,0.527983699,3.1295037225,50,0,30,15,5,0,0,0.0493036108
4.28397,6.02695,590.924,0.245682,0.917783743,5.2615408636,50,0,30,15,5,0,0,0.0170704685
7.57626,10.04031,3938.69,0.752842,0.541643117,3.1082270182,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.0442630634
6.39946,8.63809,4969.6,0.770626,0.555806053,3.2464975435,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.0464719919
8.23302,10.96297,4893.27,0.774887,0.483567397,2.6638237024,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.049228123
14.70901,16.24837,5190.94,0.776983,0.427305631,2.2907009533,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0523938256
5.27808,10.12117,4176.67,0.72104,0.558021748,3.1787635159,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0428168649
11.95679,14.3165,4228.86,0.768927,0.452654257,2.2686472544,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0494199146
11.35029,13.22338,4043.14,0.748208,0.517401349,2.7238805495,55,0,25,10,10,0,0,0.0448395545
6.63887,10.07361,4167.17,0.753936,0.550334938,3.1578305674,55,0,25,10,10,0,0,0.0446434198
6.13273,8.36451,4850.1,0.762965,0.564857674,3.315911354,55,0,25,10,10,0,0,0.0472783603
8.38733,12.6381,4308.54,0.761512,0.489577668,2.6172100636,55,0,25,10,10,0,0,0.0466721259
8.45207,9.44867,6004.75,0.78829,0.449567103,2.2496346895,60,0,15,20,5,0,0,0.0503013815
15.03344,16.75371,3288.66,0.701411,0.475147476,2.532394331,60,0,15,20,5,0,0,0.0464169337
6.31609,7.81878,3820.09,0.719163,0.616039826,3.5811059215,60,0,15,20,5,0,0,0.0401409444
10.24002,13.8496,3870.97,0.752798,0.496221798,2.507339999,60,0,15,20,5,0,0,0.0447931331
6.3356,7.50821,3775.45,0.724434,0.624151198,3.5833863122,60,0,15,20,5,0,0,0.0408449214
7.07063,9.86602,4657.09,0.73801,0.542130719,2.9272144153,60,0,15,20,5,0,0,0.0426556571
7.70338,9.70648,6125.43,0.791366,0.4091793,2.0993979756,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0551698825
15.15249,16.14052,4624.68,0.762425,0.434566154,2.4336338878,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0513165237
10.57866,12.99251,4562.98,0.77588,0.454659751,2.4222849002,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0504710684
7.59184,10.91417,4732.29,0.735297,0.492458855,2.7459838816,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0456663545
15.28375,17.16585,4178.87,0.78751,0.463652739,2.4690913428,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.0498397264
6.66034,9.01412,3700.06,0.725973,0.598825534,3.3424744343,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.0403847281
6.14486,8.54569,4081.09,0.727382,0.610296646,3.377994769,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.0411314566
15.20779,16.68582,4188.54,0.7917,0.466993376,2.4326448739,50,0,20,15,15,0,0,0.0487245361
6.08038,8.61807,3926.58,0.737517,0.613501248,3.2392183183,50,0,20,15,15,0,0,0.0398910656
7.26292,7.7023,4380.51,0.793794,0.577494352,2.9672726548,50,0,20,15,15,0,0,0.0460785078
8.78976,12.22795,3900.95,0.749426,0.530911893,2.6583310152,50,0,20,15,15,0,0,0.0430210642
7.42284,10.00499,5885.86,0.780562,0.433870465,2.2204406925,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0528239957
15.23926,16.06957,4195.2,0.750658,0.458928126,2.5419341262,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0474774774
10.61233,13.43123,4043.39,0.748858,0.480393431,2.385287906,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0451544053
7.48489,10.67615,4317.22,0.714711,0.523110189,2.8251789021,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0430804099
8.43009,9.11887,6596.8,0.755548,0.392001757,2.1743136843,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0557335284
9.56437,15.11791,5936.36,0.777407,0.336746026,1.7703099468,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0617958702
14.70438,16.87609,4459.23,0.729074,0.41509472,2.4024081625,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0510846216
10.61246,13.14037,4584.44,0.734537,0.432820866,2.5951620082,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0506915809
8.2519,9.08563,5752.07,0.726466,0.469006988,2.4619504416,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0466544238
8.46511,15.52706,5108.63,0.762644,0.401968403,1.9944123863,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0515063066
11.71501,14.32205,3951.88,0.692535,0.498953257,2.8295050088,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0417129753
14.02213,18.79998,4883.64,0.771318,0.37986766,1.8023698838,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0534474006
6.71281,7.17214,3600.61,0.633471,0.625516501,3.5694137452,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0353899815
7.77885,9.91532,5660.21,0.798442,0.435799728,2.1676109779,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0531082221
13.14819,15.71949,4684.8,0.77764,0.457907143,2.4833064223,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0499172123
7.32807,7.78339,4389.39,0.774792,0.576388216,3.1685681655,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0459309046
7.53834,9.83931,4559.25,0.739815,0.53007779,2.8439489804,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0438371113
12.90216,15.77906,3234.09,0.701449,0.555138555,2.8323599488,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0403685598
