PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NCH4 - 10 bar (mol/kg)
15.39256,17.33286,5320.53,0.795919,0.398646734,4.2592561716
5.53172,10.04859,4602.15,0.739138,0.52404106,5.4095817689
11.8459,14.18186,4731.75,0.796728,0.417679398,3.858738405
6.62192,8.63469,5227.83,0.753945,0.525001068,5.9619186975
9.76,12.33495,5206.13,0.767579,0.448287274,4.0620020624
9.48302,13.85573,4612.52,0.784287,0.442860506,2.6143713837
13.81446,16.40723,3065.56,0.712763,0.54857066,3.614033792
13.86454,16.41862,4281.72,0.789444,0.41846396,2.4187634346
9.26778,10.14241,6438.99,0.767339,0.403155887,3.083284199
9.92651,15.19196,5707.02,0.796664,0.348397409,3.0253618482
15.47522,16.80339,4139.24,0.720525,0.422658048,3.2000457563
11.26516,13.25046,4481.51,0.755347,0.483676307,3.7012640121
5.76431,10.39052,4780.42,0.760519,0.531544363,5.4902834724
6.87004,8.42145,5427.34,0.775359,0.527983699,6.0542399162
4.28397,6.02695,590.924,0.245682,0.917783743,2.0399013693
7.57626,10.04031,3938.69,0.752842,0.541643117,4.4972445317
6.39946,8.63809,4969.6,0.770626,0.555806053,5.9275609061
8.23302,10.96297,4893.27,0.774887,0.483567397,4.2096261551
14.70901,16.24837,5190.94,0.776983,0.427305631,3.6313857875
5.27808,10.12117,4176.67,0.72104,0.558021748,5.176703701
11.95679,14.3165,4228.86,0.768927,0.452654257,3.2896928369
11.35029,13.22338,4043.14,0.748208,0.517401349,3.7534191955
6.63887,10.07361,4167.17,0.753936,0.550334938,5.2424884377
6.13273,8.36451,4850.1,0.762965,0.564857674,6.179284065
8.38733,12.6381,4308.54,0.761512,0.489577668,3.7909383703
8.45207,9.44867,6004.75,0.78829,0.449567103,3.0391772486
15.03344,16.75371,3288.66,0.701411,0.475147476,3.4847489202
6.31609,7.81878,3820.09,0.719163,0.616039826,5.0735699654
10.24002,13.8496,3870.97,0.752798,0.496221798,3.3637623112
6.3356,7.50821,3775.45,0.724434,0.624151198,5.7036070662
7.07063,9.86602,4657.09,0.73801,0.542130719,4.0065948616
7.70338,9.70648,6125.43,0.791366,0.4091793,3.0972088064
15.15249,16.14052,4624.68,0.762425,0.434566154,3.7726971089
10.57866,12.99251,4562.98,0.77588,0.454659751,3.8651445986
7.59184,10.91417,4732.29,0.735297,0.492458855,4.0820927943
15.28375,17.16585,4178.87,0.78751,0.463652739,3.9774082333
6.66034,9.01412,3700.06,0.725973,0.598825534,5.1207243364
6.14486,8.54569,4081.09,0.727382,0.610296646,5.4023271179
15.20779,16.68582,4188.54,0.7917,0.466993376,3.9197504645
6.08038,8.61807,3926.58,0.737517,0.613501248,4.9011035112
7.26292,7.7023,4380.51,0.793794,0.577494352,5.1615905687
8.78976,12.22795,3900.95,0.749426,0.530911893,3.2591711985
7.42284,10.00499,5885.86,0.780562,0.433870465,3.1906507225
15.23926,16.06957,4195.2,0.750658,0.458928126,3.8423579328
10.61233,13.43123,4043.39,0.748858,0.480393431,3.1504309958
7.48489,10.67615,4317.22,0.714711,0.523110189,3.8796894381
8.43009,9.11887,6596.8,0.755548,0.392001757,3.2685585606
9.56437,15.11791,5936.36,0.777407,0.336746026,2.9798350341
14.70438,16.87609,4459.23,0.729074,0.41509472,3.8548116819
10.61246,13.14037,4584.44,0.734537,0.432820866,4.5020750365
8.2519,9.08563,5752.07,0.726466,0.469006988,3.153127372
8.46511,15.52706,5108.63,0.762644,0.401968403,2.8693271622
11.71501,14.32205,3951.88,0.692535,0.498953257,3.7365712539
14.02213,18.79998,4883.64,0.771318,0.37986766,2.385636878
6.71281,7.17214,3600.61,0.633471,0.625516501,4.6721440881
7.77885,9.91532,5660.21,0.798442,0.435799728,3.1939676557
13.14819,15.71949,4684.8,0.77764,0.457907143,3.913506827
7.32807,7.78339,4389.39,0.774792,0.576388216,6.012196358
7.53834,9.83931,4559.25,0.739815,0.53007779,4.0839464353
12.90216,15.77906,3234.09,0.701449,0.555138555,3.6927268312
5.2374,6.37141,2763.32,0.600739,0.71685532,5.1271689229
13.7351,17.19747,4332.73,0.796908,0.428908232,2.5650380334
15.31642,17.17109,2454.89,0.661325,0.5191851,3.3813065903
10.726,11.34401,5551.43,0.780603,0.40693187,3.6230368514
7.88465,10.04078,5437.09,0.767167,0.467323427,3.2457033426
8.74307,14.40549,4837.21,0.778683,0.427805187,3.3841317721
15.06697,16.48188,3787.41,0.734774,0.486878632,3.2279208838
6.13609,9.64668,4144.31,0.692535,0.563490211,4.0040173501
7.5105,9.34382,5084.49,0.730592,0.4946387,3.3442586007
12.19801,14.7429,2693.58,0.647349,0.527135121,1.9311918398
