PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 1 bar (mol/kg)
5.53172,10.04859,4602.15,0.739138,0.52404106,12.2139369228,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.6704883808
11.8459,14.18186,4731.75,0.796728,0.417679398,9.8143713303,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.4285989705
6.62192,8.63469,5227.83,0.753945,0.525001068,12.0976169602,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.720001405
9.76,12.33495,5206.13,0.767579,0.448287274,11.322151981,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.5049115139
9.48302,13.85573,4612.52,0.784287,0.442860506,9.1989271824,50,0,20.83333333,8.333333333,20.83333333,0,0,0.2832991943
13.81446,16.40723,3065.56,0.712763,0.54857066,12.9572281132,50,0,20.83333333,8.333333333,20.83333333,0,0,0.4836531494
13.86454,16.41862,4281.72,0.789444,0.41846396,8.5728731631,50,0,20.83333333,8.333333333,20.83333333,0,0,0.2600952044
9.26778,10.14241,6438.99,0.767339,0.403155887,8.379143902,50,0,37.5,8.333333333,4.166666667,0,0,0.3225492355
9.92651,15.19196,5707.02,0.796664,0.348397409,8.6046098543,50,0,37.5,8.333333333,4.166666667,0,0,0.3245656139
15.47522,16.80339,4139.24,0.720525,0.422658048,10.1931356243,50,0,37.5,8.333333333,4.166666667,0,0,0.3771617942
11.26516,13.25046,4481.51,0.755347,0.483676307,10.7456081197,50,0,30,15,5,0,0,0.4305635164
5.76431,10.39052,4780.42,0.760519,0.531544363,11.665464934,50,0,30,15,5,0,0,0.6585412831
6.87004,8.42145,5427.34,0.775359,0.527983699,11.984516854,50,0,30,15,5,0,0,0.7323386885
4.28397,6.02695,590.924,0.245682,0.917783743,16.9814583424,50,0,30,15,5,0,0,0.3473904502
7.57626,10.04031,3938.69,0.752842,0.541643117,13.3681632585,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.6302457103
6.39946,8.63809,4969.6,0.770626,0.555806053,12.4093727408,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.7336619865
8.23302,10.96297,4893.27,0.774887,0.483567397,12.0418176242,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.5145395035
14.70901,16.24837,5190.94,0.776983,0.427305631,10.6377527324,50,0,31.81818182,9.090909091,9.090909091,0,0,0.4061811454
5.27808,10.12117,4176.67,0.72104,0.558021748,12.4657627171,50,0,31.81818182,9.090909091,9.090909091,0,0,0.6645546911
11.95679,14.3165,4228.86,0.768927,0.452654257,9.7739455899,50,0,31.81818182,9.090909091,9.090909091,0,0,0.36499614
11.35029,13.22338,4043.14,0.748208,0.517401349,11.3630102055,55,0,25,10,10,0,0,0.4517952123
6.63887,10.07361,4167.17,0.753936,0.550334938,13.3710680354,55,0,25,10,10,0,0,0.6960690517
6.13273,8.36451,4850.1,0.762965,0.564857674,12.7277034725,55,0,25,10,10,0,0,0.7774302678
