PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 0.1 bar (mol/kg)
7.95881,8.22178,4808.58,0.771287,0.565657415,11.4916741775,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.0691919766
9.88989,11.59818,4310.9,0.796048,0.493360824,9.6144205366,60,0,23.33333333,6.666666667,10,0,0,0.0447004715
10.04632,11.89667,3768.29,0.711451,0.534367119,15.310531306,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.0777149517
5.81604,9.98469,4113.16,0.747905,0.574382908,13.7683308462,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.0944090314
11.76814,14.06198,4514.92,0.797634,0.465589105,12.3668555255,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.0628224003
14.55768,15.87204,3155.57,0.767992,0.53287094,16.3473715354,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.0832575488
5.44282,8.91653,3025.92,0.699781,0.683590234,16.1649207263,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.1294430626
10.55542,13.31227,3391.01,0.7721,0.552425042,15.1498759727,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.0949908523
7.09454,10.32966,4286.98,0.723887,0.5489177,12.4095346736,53.33333333,0,30,6.666666667,10,0,0,0.0588752073
13.08015,13.79841,3803.9,0.787784,0.45923272,10.5515152047,53.33333333,0,30,6.666666667,10,0,0,0.0425075202
6.32406,8.13443,4273.42,0.710515,0.584046666,12.5725565574,53.33333333,0,30,6.666666667,10,0,0,0.0678132832
8.5404,14.40969,4817.54,0.777579,0.41821103,18.2761831765,50,0,36.11111111,5.555555556,8.333333333,0,0,0.1368366714
12.3677,13.43716,3173.94,0.710599,0.504715142,11.3646818552,50,0,36.11111111,5.555555556,8.333333333,0,0,0.0429927728
10.87146,12.64558,3283.77,0.690923,0.564729195,16.0435576021,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0920919672
8.37463,10.3853,5762.2,0.792696,0.439516019,9.6435408635,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0413685057
15.62014,17.71704,3405.32,0.726771,0.467305633,16.3553269051,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0921105781
5.26324,8.83803,3763.94,0.707161,0.602836982,14.2481248507,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.1048432175
8.00417,10.37349,5195.64,0.753679,0.465968225,10.6137652856,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.0477032622
9.41702,11.99284,5519.02,0.792607,0.403795809,8.6193400638,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.0363033147
15.63447,17.69571,2970.59,0.694533,0.497257745,14.4790450771,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.0571435792
9.13298,11.85863,4500.14,0.785639,0.461345864,9.5628519372,60,0,30,6.666666667,3.333333333,0,0,0.043301632
13.08934,15.38337,2959.07,0.712574,0.569017412,18.3839511542,60,0,30,6.666666667,3.333333333,0,0,0.1811560402
7.38284,10.03221,4703.42,0.707404,0.496184413,11.5423628068,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.0513351831
8.91856,11.57419,4905.08,0.760057,0.429223787,8.9356628515,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.0371823056
15.68395,17.16632,2652.54,0.661722,0.524924406,20.772354464,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.1056838051
11.50519,18.58171,5333.83,0.77759,0.401280424,9.0800762666,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.0380227265
7.85547,10.30895,5443.24,0.779017,0.471310806,10.2372655153,56,0,28,8,8,0,0,0.0439352874
