LCD (Å),Sacc (m2/gr),Porosity,Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 10 bar (mol/kg)
13.66819,6249.41,0.79918,9.9446589964,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,3.9706961141
17.98935,5262.74,0.789179,14.0068798317,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,4.576140002
9.34088,3417.57,0.665883,13.0493944355,50,0,34.375,12.5,3.125,0,0,4.5899117431
13.46738,5040.35,0.776007,9.6390881324,50,0,34.375,12.5,3.125,0,0,3.9662823068
12.70026,5460.82,0.779255,8.7336513692,55.55555556,0,36.11111111,5.555555556,2.777777778,0,0,3.7721143566
11.47454,5556.57,0.793753,9.2604863418,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,3.8053064724
18.65911,4246.07,0.798839,13.5283171938,57.57575758,0,33.33333333,6.060606061,3.03030303,0,0,4.2147688037
15.03537,4250.26,0.774878,9.6140400836,50,0,21.875,12.5,15.625,0,0,2.810234186
16.73475,4416.24,0.785122,13.1782125552,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,4.4110318743
13.74934,4342.36,0.763798,11.1870528334,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,3.6587405459
8.22178,4808.58,0.771287,11.4916741775,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,5.7038951341
11.59818,4310.9,0.796048,9.6144205366,60,0,23.33333333,6.666666667,10,0,0,4.2418283044
11.89667,3768.29,0.711451,15.310531306,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,4.3321394882
9.98469,4113.16,0.747905,13.7683308462,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,5.7770690803
14.06198,4514.92,0.797634,12.3668555255,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,4.72613478
15.87204,3155.57,0.767992,16.3473715354,58.33333333,0,20.83333333,8.333333333,12.5,0,0,4.4259536828
8.91653,3025.92,0.699781,16.1649207263,58.33333333,0,20.83333333,8.333333333,12.5,0,0,5.6856610072
13.31227,3391.01,0.7721,15.1498759727,58.33333333,0,20.83333333,8.333333333,12.5,0,0,4.9789209671
10.32966,4286.98,0.723887,12.4095346736,53.33333333,0,30,6.666666667,10,0,0,4.9291008856
13.79841,3803.9,0.787784,10.5515152047,53.33333333,0,30,6.666666667,10,0,0,3.8940405141
8.13443,4273.42,0.710515,12.5725565574,53.33333333,0,30,6.666666667,10,0,0,5.4860512172
14.40969,4817.54,0.777579,18.2761831765,50,0,36.11111111,5.555555556,8.333333333,0,0,4.0698040839
13.43716,3173.94,0.710599,11.3646818552,50,0,36.11111111,5.555555556,8.333333333,0,0,3.6127781312
12.64558,3283.77,0.690923,16.0435576021,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,4.6107441194
10.3853,5762.2,0.792696,9.6435408635,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,3.7141847526
17.71704,3405.32,0.726771,16.3553269051,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,4.3543686343
