PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NH2 - 10 bar (mol/kg)
11.95679,14.3165,4228.86,0.768927,0.452654257,0.4439424925
11.35029,13.22338,4043.14,0.748208,0.517401349,0.3870053944
6.63887,10.07361,4167.17,0.753936,0.550334938,0.3618496376
6.13273,8.36451,4850.1,0.762965,0.564857674,0.3559665882
8.38733,12.6381,4308.54,0.761512,0.489577668,0.4089942697
8.45207,9.44867,6004.75,0.78829,0.449567103,0.4621582004
15.03344,16.75371,3288.66,0.701411,0.475147476,0.3955039589
6.31609,7.81878,3820.09,0.719163,0.616039826,0.3023598862
10.24002,13.8496,3870.97,0.752798,0.496221798,0.3933288582
6.3356,7.50821,3775.45,0.724434,0.624151198,0.296408162
7.07063,9.86602,4657.09,0.73801,0.542130719,0.3634125108
7.70338,9.70648,6125.43,0.791366,0.4091793,0.504240018
15.15249,16.14052,4624.68,0.762425,0.434566154,0.437095176
10.57866,12.99251,4562.98,0.77588,0.454659751,0.4465991398
7.59184,10.91417,4732.29,0.735297,0.492458855,0.3957083944
15.28375,17.16585,4178.87,0.78751,0.463652739,0.4276267417
6.66034,9.01412,3700.06,0.725973,0.598825534,0.3139384174
6.14486,8.54569,4081.09,0.727382,0.610296646,0.3181118511
15.20779,16.68582,4188.54,0.7917,0.466993376,0.4228003035
6.08038,8.61807,3926.58,0.737517,0.613501248,0.3199055527
7.26292,7.7023,4380.51,0.793794,0.577494352,0.3688420791
8.78976,12.22795,3900.95,0.749426,0.530911893,0.3771830672
7.42284,10.00499,5885.86,0.780562,0.433870465,0.478981951
15.23926,16.06957,4195.2,0.750658,0.458928126,0.408811364
10.61233,13.43123,4043.39,0.748858,0.480393431,0.4131763721
7.48489,10.67615,4317.22,0.714711,0.523110189,0.3660244207
8.43009,9.11887,6596.8,0.755548,0.392001757,0.5062435489
9.56437,15.11791,5936.36,0.777407,0.336746026,0.5802841489
14.70438,16.87609,4459.23,0.729074,0.41509472,0.4441146613
10.61246,13.14037,4584.44,0.734537,0.432820866,0.4281653893
8.2519,9.08563,5752.07,0.726466,0.469006988,0.4091055802
8.46511,15.52706,5108.63,0.762644,0.401968403,0.4806550881
11.71501,14.32205,3951.88,0.692535,0.498953257,0.3467406222
14.02213,18.79998,4883.64,0.771318,0.37986766,0.5073924221
6.71281,7.17214,3600.61,0.633471,0.625516501,0.2703678243
7.77885,9.91532,5660.21,0.798442,0.435799728,0.4847340309
13.14819,15.71949,4684.8,0.77764,0.457907143,0.4379047343
7.32807,7.78339,4389.39,0.774792,0.576388216,0.3511681777
7.53834,9.83931,4559.25,0.739815,0.53007779,0.37237612
12.90216,15.77906,3234.09,0.701449,0.555138555,0.3421444709
5.2374,6.37141,2763.32,0.600739,0.71685532,0.2112987796
13.7351,17.19747,4332.73,0.796908,0.428908232,0.4724837832
15.31642,17.17109,2454.89,0.661325,0.5191851,0.3159049545
10.726,11.34401,5551.43,0.780603,0.40693187,0.4996712699
7.88465,10.04078,5437.09,0.767167,0.467323427,0.4351349553
8.74307,14.40549,4837.21,0.778683,0.427805187,0.4691347093
15.06697,16.48188,3787.41,0.734774,0.486878632,0.3887611821
6.13609,9.64668,4144.31,0.692535,0.563490211,0.3286121356
7.5105,9.34382,5084.49,0.730592,0.4946387,0.3940213457
12.19801,14.7429,2693.58,0.647349,0.527135121,0.3235657488
10.72007,13.5563,3386.84,0.668824,0.547561211,0.3176957686
7.25285,7.70041,2988.38,0.630697,0.654180257,0.2587656577
10.54884,12.43448,4968.13,0.798242,0.44560492,0.4843559632
7.5458,12.0894,4611.52,0.786277,0.485244172,0.4322521931
6.25853,7.27711,1168.24,0.444504,0.840939574,0.1596157841
11.9835,15.62771,4153.96,0.7919,0.423612226,0.4768510436
7.57328,9.22895,2904.17,0.657944,0.635418339,0.2695336059
10.59124,12.80099,4586.04,0.736051,0.48138749,0.4078387345
14.70641,16.29204,5614.88,0.79807,0.39294651,0.5228468073
6.49558,9.96722,4653.11,0.736432,0.512132604,0.3809780868
11.6654,13.83305,4839.36,0.787544,0.419246857,0.499183915
6.18787,8.29751,5161.26,0.736357,0.527046091,0.3799193553
9.21894,11.82111,4933,0.757472,0.456293533,0.4433025088
8.81242,11.45317,5256.32,0.766738,0.447822947,0.4485353933
8.71726,10.60732,5944.5,0.793857,0.409021972,0.5100056747
15.26464,16.31905,4659.11,0.769207,0.434328774,0.4462644441
5.42406,9.23145,4240.6,0.704314,0.566371237,0.3235965022
10.81839,12.85775,4512.99,0.76132,0.456006126,0.4318097727
6.94826,10.65009,4743.69,0.737906,0.49510379,0.3967517037
9.21065,10.38865,5363.67,0.752067,0.429531981,0.4610044572
9.07041,12.80956,6064.02,0.795351,0.371591289,0.5571914353
15.09237,16.05001,4049.87,0.719442,0.452702468,0.4011718755
